Rank	Title	Stars	Debut	Rating	Num of Ratings
1	Planet Earth II	David Attenborough	2016	9.5	35107
2	Band of Brothers	Scott Grimes, Damian Lewis	2001	9.5	266235
3	Planet Earth	David Attenborough, Sigourney Weaver	2006	9.5	122215
4	Game of Thrones	Emilia Clarke, Peter Dinklage	2011	9.4	1214639
5	Breaking Bad	Bryan Cranston, Aaron Paul	2008	9.4	1010734
6	The Wire	Dominic West, Lance Reddick	2002	9.3	211916
7	Rick and Morty	Justin Roiland, Chris Parnell	2013	9.3	144887
8	Cosmos: A Spacetime Odyssey	Neil deGrasse Tyson, Stoney Emshwiller	2014	9.3	74964
9	Cosmos	Carl Sagan, Jaromír Hanzlík	1980	9.2	25678
10	The World at War	Laurence Olivier, Anthony Eden	1973	9.2	14302
11	The Sopranos	James Gandolfini, Lorraine Bracco	1999	9.2	213530
12	Sherlock	Benedict Cumberbatch, Martin Freeman	2010	9.1	595650
13	Life	David Attenborough, Oprah Winfrey	2009	9.1	28349
14	Avatar: The Last Airbender	Dee Bradley Baker, Zach Tyler	2005	9.1	153222
15	The Civil War	David McCullough, Sam Waterston	1990	9.1	7732
16	Human Planet	John Hurt	2011	9.0	16255
17	Firefly	Nathan Fillion, Gina Torres	2002	9.0	204266
18	Dekalog	Artur Barcis, Olgierd Lukaszewicz	1989	9.0	14912
19	The Twilight Zone	Rod Serling, Robert McCord	1959	9.0	50399
20	Last Week Tonight with John Oliver	John Oliver, David Kaye	2014	9.0	51250
21	True Detective	Vince Vaughn, Colin Farrell	2014	9.0	367821
22	Hagane no renkinjutsushi	Kent Williams, Iemasa Kayumi	2009	9.0	63700
23	Fargo	Billy Bob Thornton, Martin Freeman	2014	9.0	215803
24	Batman: The Animated Series	Kevin Conroy, Loren Lester	1992	9.0	60971
25	The Blue Planet	Pierce Brosnan, David Attenborough	2001	8.9	17155
26	Death Note: Desu nôto	Mamoru Miyano, Brad Swaile	2006	8.9	137812
27	One Punch Man: Wanpanman	Makoto Furukawa, Max Mittelman	2015	8.9	50176
28	Westworld	Evan Rachel Wood, Jeffrey Wright	2016	8.9	207927
29	Frozen Planet	David Attenborough, Alec Baldwin	2011	8.9	15545
30	Cowboy Bebop	Kôichi Yamadera, Unshô Ishizuka	1998	8.9	60812
31	House of Cards	Kevin Spacey, Michel Gill	2013	8.9	372880
